시군명,확진시기,확진자수
평창,2020-03-05,0
정선,2020-03-05,0
철원,2020-03-05,0
화천,2020-03-05,0
양구,2020-03-05,0
인제,2020-03-05,0
고성,2020-03-05,0
양양,2020-03-05,0
춘천,2020-03-06,0
원주,2020-03-06,0
강릉,2020-03-06,0
동해,2020-03-06,0
태백,2020-03-06,1
속초,2020-03-06,0
삼척,2020-03-06,0
홍천,2020-03-06,0
횡성,2020-03-06,0
영월,2020-03-06,0
평창,2020-03-06,0
정선,2020-03-06,0
철원,2020-03-06,0
화천,2020-03-06,0
양구,2020-03-06,0
인제,2020-03-06,0
고성,2020-03-06,0
양양,2020-03-06,0
춘천,2020-03-07,0
원주,2020-03-07,1
강릉,2020-03-07,0
동해,2020-03-07,0
태백,2020-03-07,0
속초,2020-03-07,0
삼척,2020-03-07,0
홍천,2020-03-07,0
횡성,2020-03-07,0
영월,2020-03-07,0
평창,2020-03-07,0
정선,2020-03-07,0
철원,2020-03-07,0
화천,2020-03-07,0
양구,2020-03-07,0
인제,2020-03-07,0
고성,2020-03-07,0
양양,2020-03-07,0
춘천,2020-03-08,0
원주,2020-03-08,0
강릉,2020-03-08,1
동해,2020-03-08,0
태백,2020-03-08,0
속초,2020-03-08,0
삼척,2020-03-08,0
홍천,2020-03-08,0
횡성,2020-03-08,0
영월,2020-03-08,0
평창,2020-03-08,0
정선,2020-03-08,0
철원,2020-03-08,0
화천,2020-03-08,0
양구,2020-03-08,0
인제,2020-03-08,0
고성,2020-03-08,0
양양,2020-03-08,0
춘천,2020-03-09,0
원주,2020-03-09,0
강릉,2020-03-09,0
동해,2020-03-09,0
태백,2020-03-09,0
속초,2020-03-09,0
삼척,2020-03-09,0
홍천,2020-03-09,0
횡성,2020-03-09,0
영월,2020-03-09,0
평창,2020-03-09,0
정선,2020-03-09,0
철원,2020-03-09,0
화천,2020-03-09,0
양구,2020-03-09,0
인제,2020-03-09,0
고성,2020-03-09,0
양양,2020-03-09,0
춘천,2020-03-10,0
원주,2020-03-10,1
강릉,2020-03-10,0
동해,2020-03-10,0
태백,2020-03-10,0
속초,2020-03-10,0
삼척,2020-03-10,0
홍천,2020-03-10,0
횡성,2020-03-10,0
영월,2020-03-10,0
평창,2020-03-10,0
정선,2020-03-10,0
철원,2020-03-10,0
화천,2020-03-10,0
양구,2020-03-10,0
인제,2020-03-10,0
고성,2020-03-10,0
양양,2020-03-10,0
춘천,2020-03-11,0
원주,2020-03-11,0
강릉,2020-03-11,0
동해,2020-03-11,0
태백,2020-03-11,0
속초,2020-03-11,0
삼척,2020-03-11,0
홍천,2020-03-11,0
횡성,2020-03-11,0
영월,2020-03-11,0
평창,2020-03-11,0
정선,2020-03-11,0
철원,2020-03-11,0
화천,2020-03-11,0
양구,2020-03-11,0
인제,2020-03-11,0
고성,2020-03-11,0
양양,2020-03-11,0
춘천,2020-03-12,0
원주,2020-03-12,0
강릉,2020-03-12,0
동해,2020-03-12,0
태백,2020-03-12,0
속초,2020-03-12,0
삼척,2020-03-12,0
홍천,2020-03-12,0
횡성,2020-03-12,0
영월,2020-03-12,0
평창,2020-03-12,0
정선,2020-03-12,0
철원,2020-03-12,0
화천,2020-03-12,0
양구,2020-03-12,0
인제,2020-03-12,0
고성,2020-03-12,0
양양,2020-03-12,0
춘천,2020-03-13,0
원주,2020-03-13,0
강릉,2020-03-13,0
동해,2020-03-13,0
태백,2020-03-13,0
속초,2020-03-13,0
삼척,2020-03-13,0
홍천,2020-03-13,0
횡성,2020-03-13,0
영월,2020-03-13,0
평창,2020-03-13,0
정선,2020-03-13,0
철원,2020-03-13,0
화천,2020-03-13,0
양구,2020-03-13,0
인제,2020-03-13,0
고성,2020-03-13,0
양양,2020-03-13,0
춘천,2020-03-14,0
원주,2020-03-14,0
강릉,2020-03-14,0
동해,2020-03-14,0
태백,2020-03-14,0
속초,2020-03-14,0
삼척,2020-03-14,0
홍천,2020-03-14,0
횡성,2020-03-14,0
영월,2020-03-14,0
평창,2020-03-14,0
정선,2020-03-14,0
철원,2020-03-14,0
화천,2020-03-14,0
양구,2020-03-14,0
인제,2020-03-14,0
고성,2020-03-14,0
양양,2020-03-14,0
춘천,2020-03-15,0
원주,2020-03-15,0
강릉,2020-03-15,0
동해,2020-03-15,0
태백,2020-03-15,0
속초,2020-03-15,0
삼척,2020-03-15,0
홍천,2020-03-15,0
횡성,2020-03-15,0
영월,2020-03-15,0
평창,2020-03-15,0
정선,2020-03-15,0
철원,2020-03-15,0
화천,2020-03-15,0
양구,2020-03-15,0
인제,2020-03-15,0
고성,2020-03-15,0
양양,2020-03-15,0
춘천,2020-03-16,0
원주,2020-03-16,0
강릉,2020-03-16,0
동해,2020-03-16,0
태백,2020-03-16,0
속초,2020-03-16,0
삼척,2020-03-16,0
홍천,2020-03-16,0
횡성,2020-03-16,0
영월,2020-03-16,0
평창,2020-03-16,0
정선,2020-03-16,0
철원,2020-03-16,0
화천,2020-03-16,0
양구,2020-03-16,0
인제,2020-03-16,0
고성,2020-03-16,0
양양,2020-03-16,0
춘천,2020-03-17,0
원주,2020-03-17,0
강릉,2020-03-17,1
동해,2020-03-17,0
태백,2020-03-17,0
속초,2020-03-17,0
삼척,2020-03-17,0
홍천,2020-03-17,0
횡성,2020-03-17,0
영월,2020-03-17,0
평창,2020-03-17,0
정선,2020-03-17,0
철원,2020-03-17,0
화천,2020-03-17,0
양구,2020-03-17,0
인제,2020-03-17,0
고성,2020-03-17,0
양양,2020-03-17,0
춘천,2020-03-18,0
원주,2020-03-18,0
강릉,2020-03-18,0
동해,2020-03-18,0
태백,2020-03-18,0
속초,2020-03-18,0
삼척,2020-03-18,0
홍천,2020-03-18,0
횡성,2020-03-18,0
영월,2020-03-18,0
평창,2020-03-18,0
정선,2020-03-18,0
철원,2020-03-18,0
화천,2020-03-18,0
양구,2020-03-18,0
인제,2020-03-18,0
고성,2020-03-18,0
양양,2020-03-18,0
춘천,2020-03-19,0
원주,2020-03-19,0
강릉,2020-03-19,0
동해,2020-03-19,0
태백,2020-03-19,0
속초,2020-03-19,0
삼척,2020-03-19,0
홍천,2020-03-19,0
횡성,2020-03-19,0
영월,2020-03-19,0
평창,2020-03-19,0
정선,2020-03-19,0
철원,2020-03-19,0
화천,2020-03-19,0
양구,2020-03-19,0
인제,2020-03-19,0
고성,2020-03-19,0
양양,2020-03-19,0
춘천,2020-03-20,0
원주,2020-03-20,0
강릉,2020-03-20,0
동해,2020-03-20,0
태백,2020-03-20,0
속초,2020-03-20,0
삼척,2020-03-20,0
홍천,2020-03-20,0
횡성,2020-03-20,0
영월,2020-03-20,0
평창,2020-03-20,0
정선,2020-03-20,0
철원,2020-03-20,0
화천,2020-03-20,0
양구,2020-03-20,0
인제,2020-03-20,0
고성,2020-03-20,0
양양,2020-03-20,0
춘천,2020-03-21,0
원주,2020-03-21,0
강릉,2020-03-21,0
동해,2020-03-21,0
태백,2020-03-21,0
속초,2020-03-21,0
삼척,2020-03-21,0
홍천,2020-03-21,0
횡성,2020-03-21,0
영월,2020-03-21,0
평창,2020-03-21,0
정선,2020-03-21,0
철원,2020-03-21,0
화천,2020-03-21,0
양구,2020-03-21,0
인제,2020-03-21,0
고성,2020-03-21,0
양양,2020-03-21,0
춘천,2020-03-22,0
원주,2020-03-22,0
강릉,2020-03-22,0
동해,2020-03-22,0
태백,2020-03-22,0
속초,2020-03-22,0
삼척,2020-03-22,0
홍천,2020-03-22,0
횡성,2020-03-22,0
영월,2020-03-22,0
평창,2020-03-22,0
정선,2020-03-22,0
철원,2020-03-22,0
화천,2020-03-22,0
양구,2020-03-22,0
인제,2020-03-22,0
고성,2020-03-22,0
양양,2020-03-22,0
춘천,2020-03-23,0
원주,2020-03-23,0
강릉,2020-03-23,0
동해,2020-03-23,0
태백,2020-03-23,0
속초,2020-03-23,0
삼척,2020-03-23,0
홍천,2020-03-23,0
횡성,2020-03-23,0
영월,2020-03-23,0
평창,2020-03-23,0
정선,2020-03-23,0
철원,2020-03-23,0
화천,2020-03-23,0
양구,2020-03-23,0
인제,2020-03-23,0
고성,2020-03-23,0
양양,2020-03-23,0
춘천,2020-03-24,0
원주,2020-03-24,0
강릉,2020-03-24,0
동해,2020-03-24,0
태백,2020-03-24,0
속초,2020-03-24,0
삼척,2020-03-24,0
홍천,2020-03-24,0
횡성,2020-03-24,0
영월,2020-03-24,0
평창,2020-03-24,0
정선,2020-03-24,0
철원,2020-03-24,0
화천,2020-03-24,0
양구,2020-03-24,0
인제,2020-03-24,1
고성,2020-03-24,0
양양,2020-03-24,0
춘천,2020-03-25,0
원주,2020-03-25,0
강릉,2020-03-25,0
동해,2020-03-25,0
태백,2020-03-25,0
속초,2020-03-25,0
삼척,2020-03-25,0
홍천,2020-03-25,0
횡성,2020-03-25,0
영월,2020-03-25,0
평창,2020-03-25,0
